target,feature,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,std_group_0,std_group_1,mean_difference,median_difference,t_stat,p_value,cohen_d,effect_magnitude,direction,p_fdr,significant_fdr
correct,theta_alpha_ratio,1059,20008,1.5621931275094916,1.5782094910205777,1.1979245870546449,1.2054665446477377,1.3471663615604044,1.4326746537867945,0.01601636351108615,0.007541957593092841,0.3758081401078487,0.7071266167373033,0.011211999011334984,negligible,positive,0.7615209718709419,False
correct,theta_alpha_temporal_ratio,1059,20008,1.7741754242133259,1.7642706125233545,1.223554303675093,1.187143326243831,1.7540660250091367,1.9761406690578585,-0.009904811689971371,-0.036410977431262204,-0.17788099492201404,0.858846343090904,-0.00503911543618811,negligible,negative,0.8906554669090857,False
correct,alpha_beta_temporal_ratio,1059,20008,4.558117521332053,4.52633818464675,2.921570820447669,2.9727256281207333,5.2131456599243915,4.922982517974408,-0.03177933668530297,0.05115480767306435,-0.19385543011838055,0.8463230204581924,-0.006435718123394332,negligible,negative,0.8906554669090857,False
correct,beta_frontal,1059,20008,0.3768550011239808,0.3794230988166014,0.3017545436047014,0.27300457027349406,0.5728601822114144,0.43694546546067325,0.002568097692620619,-0.028749973331207324,0.1436895521676987,0.8857713755598634,0.005774073437439591,negligible,positive,0.9018763096609519,False
correct,theta_alpha_central_ratio,1059,20008,1.573943495672917,1.5751106793955842,1.148414293605131,1.129634527630889,1.4038049501023289,1.515809097770489,0.00116718372266722,-0.018779765974241913,0.026258935955960065,0.9790552018633377,0.0007727739828918881,negligible,positive,0.9790552018633377,False
remember,gamma_occipital,9507,11560,0.1040663658822985,0.11939928217779298,0.0797727016058776,0.0891877210608969,0.11023739140266806,0.1379755297595788,0.015332916295494478,0.009415019455019297,8.965136341260353,3.3518094023050598e-19,0.12148235417858504,negligible,positive,1.8770132652908335e-17,True
remember,memory_cond,9507,11560,5.095718943936047,4.9442906574394465,5.0,5.0,1.5914805717866336,1.652691381905007,-0.15142828649660078,0.0,-6.753904065886236,1.477649922760899e-11,-0.09316632902604384,negligible,negative,4.1374197837305174e-10,True
remember,theta_parietal,9507,11560,3.0843992846463615,2.7473460249871313,1.3326994391999654,1.3018700126615925,5.619182624123003,4.903371316788247,-0.33705325965923016,-0.03082942653837284,-4.586243383500818,4.541707819404209e-06,-0.06434131763697505,negligible,negative,6.358390947165893e-05,True
remember,theta_temporal,9507,11560,1.6570809978025476,1.479319621927963,0.8081804285878832,0.7731667923531506,3.030420876478244,2.470247799956405,-0.17776137587458463,-0.03501363623473264,-4.599243747105195,4.268751359626459e-06,-0.06494117510658345,negligible,negative,6.358390947165893e-05,True
remember,gamma_parietal,9507,11560,0.07443341861268643,0.08113675449067886,0.0558257112212108,0.0591666769016407,0.09416089617961365,0.12015757807306678,0.0067033358779924335,0.0033409656804299012,4.538455384329596,5.698171508295299e-06,0.06138863400824692,negligible,positive,6.381952089290735e-05,True
remember,theta_frontoparietal_diff,9507,11560,-1.0573211302552117,-0.8803205200597359,-0.2509681257515364,-0.2372338369586866,3.3446344170727915,2.81536748022879,0.17700061019547575,0.01373428879284977,4.101531652183409,4.1216872725643394e-05,0.057738719684978526,negligible,positive,0.00038469081210600503,True
remember,theta_abs,9507,11560,2.240215120545099,2.047177516704484,1.1244086550301942,1.1110843720525176,3.629930025076812,3.2314265853841992,-0.19303760384061475,-0.013324282977676516,-4.034538879851738,5.492116142896659e-05,-0.056492998465099795,negligible,negative,0.0004393692914317327,True
remember,theta_central,9507,11560,1.4611230178811807,1.336577812556976,0.6542069500434475,0.6510860621218449,2.408298650758028,2.1806836517412416,-0.12454520532420466,-0.0031208879216025887,-3.8969277383453997,9.774796859885115e-05,-0.05447678574810474,negligible,negative,0.0006842357801919581,True
remember,gamma_frontoparietal_ratio,9507,11560,3.819755879830617,3.5732180787582437,1.7895963596250517,1.6358481921703145,5.3805416780935635,5.082121881197731,-0.24653780107237333,-0.15374816745473718,-3.393057117828136,0.0006925253745596002,-0.04723939230561443,negligible,negative,0.004309046775037513,True
remember,theta_beta_ratio,9507,11560,6.439506225303763,6.0970676754301625,3.9620010467044433,3.9309747461683124,7.790189557048209,7.097581097887442,-0.34243854987360045,-0.03102630053613087,-3.3041289845238397,0.0009544401757373469,-0.04616228661387337,negligible,negative,0.005344864984129142,True
