target,feature,n_subjects,mean_subject_effect,median_subject_effect,subject_std,positive_fraction,negative_fraction,directional_consistency,subject_t_stat,subject_p_value,subject_p_fdr
remember,gamma_occipital,22,0.0005713873224386789,0.00048347092199946983,0.012595076993041956,0.5909090909090909,0.4090909090909091,0.5909090909090909,0.21278505114420965,0.8335466131162966,0.942541218625936
remember,delta_temporal,22,-0.16970500320705725,0.021154437663815584,0.6494184796728919,0.5909090909090909,0.4090909090909091,0.5909090909090909,-1.2256919790212941,0.2338833455912319,0.942541218625936
remember,theta_temporal,22,-0.040382366441861,0.0018253621337535053,0.19782772713081204,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.9574496493740925,0.34923416279187286,0.942541218625936
remember,alpha_temporal,22,-0.028414709425522322,0.020713316320291997,0.23592220981507506,0.6818181818181818,0.3181818181818182,0.6818181818181818,-0.5649184152892631,0.5781147977374126,0.942541218625936
remember,beta_temporal,22,-0.013306370969603791,0.00281046803065102,0.09916063797531814,0.5909090909090909,0.4090909090909091,0.5909090909090909,-0.6294071254102009,0.5358705763503758,0.942541218625936
remember,gamma_temporal,22,-0.010394362531110292,0.0018653112387652382,0.08045166863277278,0.5909090909090909,0.4090909090909091,0.5909090909090909,-0.6060021209973697,0.551008068437263,0.942541218625936
remember,theta_alpha_frontal_ratio,22,0.02795823234919875,0.016725597571210504,0.15747486580281417,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.8327407231557302,0.4143616948148202,0.942541218625936
remember,alpha_beta_frontal_ratio,22,-0.03406312705777374,-0.003994930928231888,0.5045118460705217,0.5,0.5,0.5,-0.316682807797375,0.7546108772569755,0.942541218625936
remember,theta_alpha_central_ratio,22,0.04063410852143858,0.002158221476715627,0.1541091957772125,0.5909090909090909,0.4090909090909091,0.5909090909090909,1.2367260891482306,0.22984181885951022,0.942541218625936
remember,alpha_beta_central_ratio,22,-0.010642743158839084,-0.0057098000481596856,0.6843480882409403,0.5,0.5,0.5,-0.07294371256049562,0.942541218625936,0.942541218625936
remember,theta_alpha_parietal_ratio,22,0.031661147566550044,-0.020501036069473733,0.15012547950253055,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.9891988089719195,0.33382738575779736,0.942541218625936
remember,alpha_beta_parietal_ratio,22,-0.10235748007323336,-0.06647515856063291,0.6699024886957585,0.4090909090909091,0.5909090909090909,0.5909090909090909,-0.7166701807691706,0.48147286164004427,0.942541218625936
