target,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,std_abs_coefficient,mean_permutation_importance,std_permutation_importance,mean_permutation_importance_std,coefficient_sign_consistency,positive_fraction,negative_fraction,folds_available,stable_direction,mean_abs_permutation_importance,stability_score,scientific_ml_rank
correct,beta_frontoparietal_diff,0.08740514260769974,0.19550367088958032,0.1420841778497255,0.15012117448948106,-0.007356062895670376,0.013984297976753808,0.003628373398145092,0.4,0.4,0.6,5,False,0.007356062895670376,0.0029424251582681506,36
correct,gamma_temporal,0.16375028789268903,0.3085639859775878,0.21009953361609252,0.27120501818997683,0.003452237597912286,0.013285156422324817,0.005047704378302128,0.8,0.8,0.2,5,True,0.003452237597912286,0.002761790078329829,37
correct,alpha_beta_temporal_ratio,-0.02506650974039436,0.055691681795818744,0.04420521895449655,0.038004592892630876,-0.0033943159208096227,0.006646186698279738,0.0012747773323946484,0.8,0.2,0.8,5,True,0.0033943159208096227,0.0027154527366476983,38
correct,theta_alpha_central_ratio,0.01484792974397402,0.06658310223450839,0.05262929587451105,0.03530697232792625,-0.004492650614803672,0.007368755200736784,0.0019091718100613408,0.6,0.6,0.4,5,False,0.004492650614803672,0.0026955903688822033,39
correct,theta_frontoparietal_ratio,-0.08656345774750855,0.02424231573043331,0.08656345774750855,0.02424231573043331,0.0023848436794597382,0.007242588844626221,0.0032693602705852727,1.0,0.0,1.0,5,True,0.0023848436794597382,0.0023848436794597382,40
correct,alpha_beta_frontal_ratio,0.477692107936359,0.30892969142152127,0.477692107936359,0.30892969142152127,-0.0023724685183765873,0.044536005328208464,0.010581468094097381,1.0,1.0,0.0,5,True,0.0023724685183765873,0.0023724685183765873,41
correct,beta_central,0.09407534477361683,0.15353692761486415,0.15821297480519575,0.05785429554811592,0.0028029833809482263,0.010002857364829584,0.003672559374205643,0.8,0.8,0.2,5,True,0.0028029833809482263,0.002242386704758581,42
correct,alpha_parietal,-0.28637341618247697,0.1323217842654298,0.28637341618247697,0.1323217842654298,0.0017682273605630218,0.014499485216713421,0.005833897383861722,1.0,0.0,1.0,5,True,0.0017682273605630218,0.0017682273605630218,43
correct,delta_temporal,0.14265332747226753,0.11038071096265706,0.1570677019552536,0.0823622328763534,0.0021545850685452694,0.003215124651333183,0.0033059974825408447,0.8,0.8,0.2,5,True,0.0021545850685452694,0.0017236680548362157,44
correct,theta_alpha_temporal_ratio,-0.025145435702459917,0.03916107812833221,0.03507810690266594,0.028033270076160348,-0.00245688192886103,0.0032840266770504754,0.0012383005732769124,0.6,0.4,0.6,5,False,0.00245688192886103,0.0014741291573166179,45
correct,delta_frontal,0.05353301520195639,0.10792787528488094,0.09667243820161228,0.059571012451269015,0.0022675995425485663,0.002704301328407528,0.003081458716434863,0.6,0.6,0.4,5,False,0.0022675995425485663,0.0013605597255291397,46
correct,gamma_occipital,0.02637989430089257,0.0753643303017665,0.06360489795725527,0.03863517834565439,-0.0020447155009116137,0.0035480235930569286,0.001831828001779104,0.6,0.6,0.4,5,False,0.0020447155009116137,0.0012268293005469682,47
correct,beta_occipital,0.016569618618488425,0.08961192761485144,0.06467205837436454,0.05608381209699067,0.0020136741714408893,0.006615940893435536,0.00212596751013169,0.6,0.6,0.4,5,False,0.0020136741714408893,0.0012082045028645335,48
correct,theta_alpha_occipital_ratio,0.043674440749798635,0.037459022943488046,0.04625944780061301,0.03335534035005946,0.0014544808046511326,0.004884248387376291,0.001857348296450536,0.8,0.8,0.2,5,True,0.0014544808046511326,0.001163584643720906,49
