subject,run,task_role,count
sub-011,2,ignored_correct,10
sub-011,2,indicate_ready,24
sub-011,2,probe_not_shown,11
sub-011,2,probe_target,14
sub-011,2,remembered_correct,14
sub-011,2,remembered_incorrect,1
sub-011,2,to_ignore,77
sub-011,2,to_remember,123
sub-011,2,work_memory,25
sub-011,3,feedback_correct,24
sub-011,3,feedback_incorrect,1
sub-011,3,fixate,25
sub-011,3,ignored_correct,9
sub-011,3,indicate_ready,25
sub-011,3,probe_not_shown,10
sub-011,3,probe_target,15
sub-011,3,remembered_correct,15
sub-011,3,remembered_incorrect,1
sub-011,3,to_ignore,73
sub-011,3,to_remember,127
sub-011,3,work_memory,25
sub-011,4,feedback_correct,22
sub-011,4,feedback_incorrect,2
sub-011,4,fixate,25
sub-011,4,ignored_correct,12
sub-011,4,indicate_ready,25
sub-011,4,probe_not_shown,15
sub-011,4,probe_target,10
sub-011,4,remembered_correct,10
sub-011,4,remembered_incorrect,2
sub-011,4,to_ignore,75
sub-011,4,to_remember,125
sub-011,4,work_memory,25
sub-012,1,feedback_correct,16
sub-012,1,fixate,4
sub-012,1,ignored_correct,8
sub-012,1,indicate_ready,4
sub-012,1,probe_not_shown,10
sub-012,1,probe_target,15
sub-012,1,remembered_correct,14
sub-012,1,to_ignore,39
sub-012,1,to_remember,82
sub-012,1,work_memory,2
sub-012,2,feedback_correct,7
sub-012,2,fixate,2
sub-012,2,ignored_correct,11
sub-012,2,indicate_ready,3
sub-012,2,probe_not_shown,11
sub-012,2,probe_target,13
sub-012,2,remembered_correct,14
sub-012,2,to_ignore,31
sub-012,2,to_remember,66
sub-012,2,work_memory,2
sub-012,3,feedback_correct,15
sub-012,3,fixate,4
sub-012,3,ignored_correct,8
sub-012,3,indicate_ready,6
sub-012,3,probe_not_shown,10
sub-012,3,probe_target,15
sub-012,3,remembered_correct,15
sub-012,3,to_ignore,39
sub-012,3,to_remember,62
sub-014,1,bad_trial,2
sub-014,1,feedback_correct,23
sub-014,1,feedback_incorrect,1
sub-014,1,fixate,20
sub-014,1,ignored_correct,9
sub-014,1,indicate_ready,20
sub-014,1,probe_not_shown,10
sub-014,1,probe_target,14
sub-014,1,remembered_correct,14
sub-014,1,remembered_incorrect,3
sub-014,1,to_ignore,73
sub-014,1,to_remember,118
sub-014,1,work_memory,24
sub-014,2,bad_trial,10
sub-014,2,feedback_correct,20
sub-014,2,feedback_incorrect,2
sub-014,2,fixate,20
sub-014,2,ignored_correct,9
sub-014,2,ignored_incorrect,1
sub-014,2,indicate_ready,20
sub-014,2,probe_not_shown,10
sub-014,2,probe_target,13
sub-014,2,remembered_correct,12
sub-014,2,remembered_incorrect,5
sub-014,2,to_ignore,65
sub-014,2,to_remember,118
sub-014,2,work_memory,23
sub-014,3,bad_trial,1
sub-014,3,feedback_correct,23
sub-014,3,feedback_incorrect,1
sub-014,3,fixate,23
sub-014,3,ignored_correct,13
sub-014,3,indicate_ready,23
sub-014,3,probe_not_shown,14
sub-014,3,probe_target,10
sub-014,3,remembered_correct,10
sub-014,3,remembered_incorrect,2
sub-014,3,to_ignore,68
sub-014,3,to_remember,120
sub-014,3,work_memory,24
sub-015,1,feedback_correct,2
sub-015,1,fixate,3
sub-015,1,ignored_correct,2
sub-015,1,ignored_incorrect,1
sub-015,1,indicate_ready,3
sub-015,1,probe_not_shown,7
sub-015,1,probe_target,15
sub-015,1,remembered_correct,3
sub-015,1,to_ignore,13
sub-015,1,to_remember,83
sub-015,1,work_memory,2
sub-015,2,feedback_correct,12
sub-015,2,fixate,2
sub-015,2,ignored_correct,10
sub-015,2,indicate_ready,3
sub-015,2,probe_not_shown,10
sub-015,2,probe_target,14
sub-015,2,remembered_correct,8
sub-015,2,to_ignore,20
sub-015,2,to_remember,63
sub-015,2,work_memory,1
sub-015,3,bad_trial,1
sub-015,3,feedback_correct,7
sub-015,3,feedback_incorrect,1
sub-015,3,fixate,3
sub-015,3,ignored_correct,5
sub-015,3,indicate_ready,2
sub-015,3,probe_not_shown,10
sub-015,3,probe_target,14
sub-015,3,remembered_correct,7
