target,feature,mean_difference,cohen_d,abs_cohen_d,p_value,p_fdr,fdr_significant,effect_magnitude,statistical_direction,subject_count,subject_effect_mean,subject_effect_median,subject_effect_std,subject_effect_status,positive_fraction,negative_fraction,direction_consistency,direction_agreement,robustness_class,scientific_priority_score,scientific_rank,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,std_group_0,std_group_1,median_difference,t_stat,direction,significant_fdr
correct,gamma_central,0.0032240221168111,0.0205134634057944,0.0205134634057944,0.4041177145675652,0.4618488166486459,False,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,49,1059,20008,0.0573332652382607,0.0605572873550719,0.0425379253109407,0.04433684681024,0.1202826815614553,0.1588784137996108,0.0017989214992992,0.8345702000379374,positive,False
correct,gamma_frontal,-0.0095864648697016,-0.0266857335426586,0.0266857335426586,0.6197868914981668,0.6941613184779467,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,50,1059,20008,0.1942844810516815,0.1846980161819798,0.1331482729377779,0.1111791377994493,0.6237166246533898,0.3395621889019984,-0.0219691351383286,-0.4962940535728096,negative,False
correct,theta_alpha_frontal_ratio,-0.0279890214491596,-0.0139376584825778,0.0139376584825778,0.6469435330429169,0.7103693696157518,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,51,1059,20008,2.059159952269411,2.0311709308202515,1.435996493993112,1.4755024791220157,1.9335042240430755,2.012028772766792,0.0395059851289036,-0.4581295611968201,negative,False
correct,theta_alpha_ratio,0.0160163635110861,0.0112119990113349,0.0112119990113349,0.7071266167373033,0.7615209718709419,False,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,52,1059,20008,1.5621931275094916,1.5782094910205775,1.1979245870546449,1.2054665446477375,1.3471663615604044,1.4326746537867945,0.0075419575930928,0.3758081401078487,positive,False
correct,theta_alpha_temporal_ratio,-0.0099048116899713,-0.0050391154361881,0.0050391154361881,0.858846343090904,0.8906554669090857,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,53,1059,20008,1.774175424213326,1.7642706125233545,1.223554303675093,1.187143326243831,1.7540660250091369,1.9761406690578585,-0.0364109774312622,-0.177880994922014,negative,False
correct,alpha_beta_temporal_ratio,-0.0317793366853029,-0.0064357181233943,0.0064357181233943,0.8463230204581924,0.8906554669090857,False,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,54,1059,20008,4.558117521332053,4.52633818464675,2.921570820447669,2.9727256281207333,5.213145659924392,4.922982517974408,0.0511548076730643,-0.1938554301183805,negative,False
correct,beta_frontal,0.0025680976926206,0.0057740734374395,0.0057740734374395,0.8857713755598634,0.901876309660952,False,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,55,1059,20008,0.3768550011239808,0.3794230988166014,0.3017545436047014,0.273004570273494,0.5728601822114144,0.4369454654606732,-0.0287499733312073,0.1436895521676987,positive,False
correct,theta_alpha_central_ratio,0.0011671837226672,0.0007727739828918,0.0007727739828918,0.9790552018633376,0.9790552018633376,False,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,not_significant,0.0,56,1059,20008,1.573943495672917,1.5751106793955842,1.148414293605131,1.129634527630889,1.4038049501023289,1.515809097770489,-0.0187797659742419,0.02625893595596,positive,False
remember,gamma_occipital,0.0153329162954944,0.121482354178585,0.121482354178585,3.35180940230506e-19,1.8770132652908332e-17,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,1,9507,11560,0.1040663658822985,0.1193992821777929,0.0797727016058776,0.0891877210608969,0.110237391402668,0.1379755297595788,0.0094150194550192,8.965136341260353,positive,True
remember,memory_cond,-0.1514282864966007,-0.0931663290260438,0.0931663290260438,1.477649922760899e-11,4.137419783730517e-10,True,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,2,9507,11560,5.095718943936047,4.944290657439447,5.0,5.0,1.5914805717866336,1.652691381905007,0.0,-6.753904065886236,negative,True
remember,theta_parietal,-0.3370532596592301,-0.064341317636975,0.064341317636975,4.541707819404209e-06,6.358390947165893e-05,True,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,3,9507,11560,3.084399284646361,2.7473460249871318,1.3326994391999654,1.3018700126615923,5.619182624123003,4.903371316788247,-0.0308294265383728,-4.586243383500818,negative,True
remember,theta_temporal,-0.1777613758745846,-0.0649411751065834,0.0649411751065834,4.268751359626459e-06,6.358390947165893e-05,True,negligible,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,4,9507,11560,1.6570809978025476,1.479319621927963,0.8081804285878832,0.7731667923531506,3.030420876478244,2.470247799956405,-0.0350136362347326,-4.599243747105195,negative,True
remember,gamma_parietal,0.0067033358779924,0.0613886340082469,0.0613886340082469,5.698171508295299e-06,6.381952089290735e-05,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,5,9507,11560,0.0744334186126864,0.0811367544906788,0.0558257112212108,0.0591666769016407,0.0941608961796136,0.1201575780730667,0.0033409656804299,4.538455384329596,positive,True
remember,theta_frontoparietal_diff,0.1770006101954757,0.0577387196849785,0.0577387196849785,4.1216872725643394e-05,0.000384690812106,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,6,9507,11560,-1.0573211302552117,-0.8803205200597359,-0.2509681257515364,-0.2372338369586866,3.3446344170727915,2.81536748022879,0.0137342887928497,4.101531652183409,positive,True
