feature,remember_mean_0,remember_mean_1,remember_difference,remember_effect_size,correct_mean_0,correct_mean_1,correct_difference,correct_effect_size,abs_remember_effect,abs_correct_effect,remember_effect_magnitude,correct_effect_magnitude,subjects_with_remember_effect,subjects_with_correct_effect,remember_subject_mean,remember_subject_median,remember_subject_std,remember_positive_subject_fraction,correct_subject_mean,correct_subject_median,correct_subject_std,correct_positive_subject_fraction
beta_parietal,0.34680908396612703,0.35224393553923705,0.005434851573110022,0.015326615362477545,0.29744655119314456,0.3525618731700325,0.055115321976887954,0.1736973578565671,0.015326615362477545,0.1736973578565671,negligible,negligible,22,17,-0.005930338816362904,0.00509423445607544,0.1370314278828085,0.5454545454545454,0.04568359299605849,0.03005980210558622,0.25856087598602245,0.6470588235294118
alpha_beta_parietal_ratio,8.56093572036839,8.43786405980346,-0.12307166056493024,-0.015040484554271722,7.559328819946231,8.542842623178089,0.9835138032318582,0.1259174504466936,0.015040484554271722,0.1259174504466936,negligible,negligible,22,17,-0.008899878247743383,-0.00714687963092866,0.14266027024489644,0.4090909090909091,0.03713283306995082,0.03827504906638454,0.18671758863613594,0.5882352941176471
theta_alpha_parietal_ratio,1.452020595849345,1.430479972091456,-0.02154062375788901,-0.014085711103640895,1.3583158108832687,1.4445347780083753,0.08621896712510657,0.06086623574644196,0.014085711103640895,0.06086623574644196,negligible,negligible,22,17,0.018115621220353727,-0.015193536240410343,0.13302991336166384,0.45454545454545453,0.057607059823141175,0.04847398488871952,0.192316382845081,0.5882352941176471
theta_alpha_ratio,1.5881428165022198,1.5685730330350924,-0.019569783467127344,-0.013701658094376599,1.5621931275094916,1.5782094910205777,0.01601636351108615,0.01151777498466214,0.013701658094376599,0.01151777498466214,negligible,negligible,22,17,0.013720792059534926,0.007213581571198548,0.0770640189607319,0.5454545454545454,0.05985120385013264,0.06182799451277939,0.1992110266949139,0.5882352941176471
alpha_frontal,1.2643985839530836,1.2401426569848744,-0.024255926968209218,-0.013680116419065944,1.0837893013379056,1.2599437016328603,0.17615440029495466,0.09967922708499656,0.013680116419065944,0.09967922708499656,negligible,negligible,22,17,-0.0030707927750683304,0.03105837044748328,0.10824655871385148,0.5909090909090909,-0.011793594733853538,-0.06267600153106233,0.24389050601969123,0.35294117647058826
delta_rel,0.4140516977084771,0.41149521106952724,-0.002556486638949862,-0.013462859756315176,0.45013301210800816,0.4106648975537708,-0.03946811455423738,-0.19957098660222072,0.013462859756315176,0.19957098660222072,negligible,negligible,22,17,0.012862226458615523,0.010013403274800745,0.10572950403783193,0.5454545454545454,-0.07439446030727784,-0.018184398771807452,0.2665142152639937,0.35294117647058826
beta_frontal,0.3765760423561036,0.3815292709890467,0.0049532286329431185,0.01114431834651846,0.3768550011239808,0.3794230988166014,0.002568097692620619,0.005040866008809802,0.01114431834651846,0.005040866008809802,negligible,negligible,22,17,0.006292755656684229,0.026761357882137505,0.09935620573113016,0.6818181818181818,0.010174146145588864,-0.00246404083086679,0.3239403608709913,0.47058823529411764
theta_alpha_occipital_ratio,1.8109567607961539,1.8408542195470687,0.029897458750914874,0.010304552927442518,1.6724515781258793,1.8355614994810998,0.1631099213552205,0.06313286204624675,0.010304552927442518,0.06313286204624675,negligible,negligible,22,17,0.019958592202797096,-0.0003951778382677998,0.0885949826535196,0.5,0.07878043065566702,0.03756914006202942,0.17846517928088634,0.5882352941176471
alpha_beta_temporal_ratio,4.549670398379389,4.510060932189444,-0.039609466189944875,-0.008012544356742838,4.558117521332053,4.52633818464675,-0.03177933668530297,-0.006267940342048481,0.008012544356742838,0.006267940342048481,negligible,negligible,22,17,0.052336805910856855,0.03150874202714794,0.1486178561793479,0.5909090909090909,0.06494299068767259,0.06172000394010556,0.2467043589216245,0.5882352941176471
delta_frontoparietal_ratio,1.2942753574225057,1.303423779787817,0.009148422365311326,0.007639411861471294,1.3653281424165298,1.2958002906109467,-0.06952785180558307,-0.0619355100349861,0.007639411861471294,0.0619355100349861,negligible,negligible,22,17,-0.00855543729370014,0.005525920032537665,0.08435002365245589,0.5,0.007618362637043287,0.07672354942166676,0.21028764251566232,0.6470588235294118
alpha_occipital,4.287411310201857,4.370165651510288,0.08275434130843085,0.0076368919819465,4.023955499322334,4.349168601747582,0.3252131024252485,0.028648370153766513,0.0076368919819465,0.028648370153766513,negligible,negligible,22,17,-0.013808574837919585,0.00601838523976096,0.11036127458570767,0.5,-0.035387581923047806,-0.02267374435742124,0.2244054755285759,0.4117647058823529
gamma_rel,0.03184450565890656,0.03209214171404125,0.000247636055134684,0.007556082776717576,0.033170670751742674,0.0319173897034909,-0.0012532810482517726,-0.03692733572415694,0.007556082776717576,0.03692733572415694,negligible,negligible,22,17,0.026313865888035567,0.02106926367810994,0.1265643505499951,0.5454545454545454,-0.10166472404316661,-0.06800822858511194,0.3599035361120349,0.4117647058823529
theta_alpha_central_ratio,1.577259569941138,1.5732364968714594,-0.00402307306967864,-0.0026642495031174184,1.573943495672917,1.5751106793955842,0.00116718372266722,0.0007989588912265519,0.0026642495031174184,0.0007989588912265519,negligible,negligible,22,17,0.024055814630122904,0.0018794202919670136,0.09713182792905822,0.5909090909090909,0.019230682046213206,0.02467215204274602,0.1678111824226007,0.6470588235294118
gamma_frontal,0.1849084842535074,0.18540313264746439,0.0004946483939569923,0.0013836047864463,0.1942844810516815,0.1846980161819798,-0.009586464869701689,-0.019090542673292434,0.0013836047864463,0.019090542673292434,negligible,negligible,22,17,0.020143744628534924,0.01438589388032376,0.18286675129026012,0.5454545454545454,-0.018570855272571355,-0.08546957445671927,0.38117225129654486,0.35294117647058826
