target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency,ml_mean_stability_score,ml_best_rank,remember_abs_effect,correct_abs_effect,cross_target_pattern,direction_relationship,significance_pattern,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2,n_subjects,direction_consistency,positive_fraction,negative_fraction,median_effect,mean_effect,std_effect,median_abs_effect,nonzero_subject_fraction,robustness_class,publication_robustness_score,publication_robustness_class
correct,alpha_beta_ratio,0.538241535729493,0.1115741527988019,0.1115741527988019,0.0009296003114551,True,negligible,significant_but_weak,4.0,positive,0.0050884073262485,0.9,0.0045967931659526,16,0.1015785012376735,0.538241535729493,target_dissociated,opposite_direction,significant_correct_only,0.494222931904701,1.0,0.0,0.9,0.3512890307082364,0.25,0.5636846360469989,moderate_multilayer_evidence,27,30,17,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.027962344081358,0.046180390629905685,0.3000689208728265,0.2051284498031887,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,alpha_rel,0.0175304277247444,0.1294403336185308,0.1294403336185308,0.0001465080516652,True,negligible,significant_but_weak,4.0,positive,0.0004776984197269,0.7,0.0003762971489655,43,0.0034309465301826,0.0175304277247444,weak_cross_target_pattern,same_direction,significant_correct_only,0.573913964281981,1.0,0.0,0.7,0.0104514205258028,0.5,0.5345236331230755,moderate_multilayer_evidence,29,37,17,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.0454504463368716,0.05097832355011286,0.17756023688398814,0.1363345379420615,1.0,weak_directional_robustness,3.0,scientifically_interesting
remember,gamma_occipital,0.0153329162954944,0.121482354178585,0.121482354178585,1.877013265290833e-17,True,negligible,significant_but_weak,4.0,positive,0.0057535301373809,0.8,0.0053445870371985,5,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,same_direction,significant_both_targets,0.5384178723300765,1.0,0.0,0.8,0.4004569296192949,0.5,0.5846501610444488,moderate_multilayer_evidence,1,3,22,0.5909090909090909,0.5909090909090909,0.4090909090909091,0.0133513575859867,0.023031090473266857,0.09783606291891933,0.06382762499135156,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,gamma_parietal,0.0135698623330476,0.1242595828151386,0.1242595828151386,1.0619820128413021e-07,True,negligible,significant_but_weak,4.0,positive,0.0059840039699558,1.0,0.0059840039699558,9,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,same_direction,significant_both_targets,0.5508055347761158,1.0,0.0,1.0,0.4174942555266634,0.5,0.6294508092466954,strong_multilayer_evidence,10,2,17,0.5882352941176471,0.4117647058823529,0.5882352941176471,-0.1006162409118598,-0.05958862522387283,0.38754553486078297,0.1711143502198045,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,alpha_beta_frontal_ratio,0.5925261508220454,0.1303176474367501,0.1303176474367501,0.0001014112496675,True,negligible,significant_but_weak,4.0,positive,0.0096749932044134,0.9,0.0079772414153683,1,0.114316307364513,0.5925261508220454,target_dissociated,opposite_direction,significant_correct_only,0.5778271701651067,1.0,0.0,0.9,0.6903433933462736,0.25,0.6184911318759041,strong_multilayer_evidence,12,20,17,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.1052386511879747,0.011768877838233034,0.29770901597640115,0.2156861939000447,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,alpha_beta_parietal_ratio,0.9835138032318582,0.1202418218023179,0.1202418218023179,0.0001063347277625,True,negligible,significant_but_weak,4.0,positive,0.007165682023854,1.0,0.007165682023854,10,0.1230716605649302,0.9835138032318582,target_dissociated,opposite_direction,significant_correct_only,0.5328845517642734,1.0,0.0,1.0,0.5048474873314354,0.25,0.6087058866742119,strong_multilayer_evidence,14,22,17,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.0382750490663845,0.037132833069950806,0.18671758863613588,0.1485078581255829,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,theta_abs,0.4228316544939132,0.1237392080186769,0.1237392080186769,5.477629943419366e-06,True,negligible,significant_but_weak,4.0,positive,0.0111490543470897,0.8,0.0074800511417824,4,0.1930376038406147,0.4228316544939132,target_dissociated,opposite_direction,significant_both_targets,0.5484844340791298,1.0,0.0,0.8,0.7993104713636985,0.25,0.6020521556561524,strong_multilayer_evidence,16,6,17,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.1011817885579857,0.09306439261390705,0.25249170280926436,0.1717599812698288,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,theta_beta_ratio,0.7977931256118733,0.1075474890702915,0.1075474890702915,0.0002196680024521,True,negligible,significant_but_weak,4.0,positive,0.0093654184539337,0.9,0.0086930736881399,7,0.3424385498736004,0.7977931256118733,target_dissociated,opposite_direction,significant_both_targets,0.476262238861295,1.0,0.0,0.9,0.6674586872705811,0.25,0.5908114284423819,moderate_multilayer_evidence,19,8,17,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.0847662864916092,0.05244258158047268,0.31370395308963495,0.1854973211293558,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,theta_central,0.3493210928413732,0.1528240647860177,0.1528240647860177,7.168466810680754e-09,True,negligible,significant_but_weak,4.0,positive,0.0017810108350266,0.8,0.0014248086680213,24,0.1245452053242046,0.3493210928413732,target_dissociated,opposite_direction,significant_both_targets,0.6782157004153158,1.0,0.0,0.8,0.1067962338631891,0.25,0.565233548490148,moderate_multilayer_evidence,26,12,17,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.1026073676032386,0.11307711641494934,0.31435629645322627,0.1153217905313763,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,theta_rel,0.0247383786040161,0.1940892963849802,0.1940892963849802,4.763877686990766e-09,True,negligible,significant_but_weak,4.0,positive,0.0039801707477693,0.6,0.0023881024486615,25,0.0025920982226814,0.0247383786040161,weak_cross_target_pattern,opposite_direction,significant_correct_only,0.8622768011390672,1.0,0.0,0.6,0.2693648158892643,0.5,0.6125056818736934,strong_multilayer_evidence,13,29,17,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0267486725345396,0.08679106636054519,0.3271216947006907,0.1604961337548803,1.0,weak_directional_robustness,3.0,scientifically_interesting
