target,feature,p_value,p_fdr,effect_size,mean_difference,direction,n_subjects_x,direction_consistency_x,positive_fraction,negative_fraction,direction_consistency_y,n_subjects_y,fdr_significant,abs_effect_size,effect_magnitude,direction_final,robustness_class,scientific_priority_score,scientific_rank
correct,beta_central,0.0032417313755826,0.0055011199100795,0.0771164318879058,0.0159778114775971,positive,17.0,,0.4705882352941176,0.5294117647058824,0.5294117647058824,17,True,0.0771164318879058,negligible,positive,not_available,0.3694047886991152,36
correct,beta_occipital,0.009252837907202,0.0140042952109003,0.0689181029967217,0.03696126697373,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.0689181029967217,negligible,positive,not_available,0.3620262926970495,37
correct,delta_frontoparietal_ratio,0.0319909720903931,0.0459357547964619,-0.0574309172897982,-0.069527851805583,negative,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,True,0.0574309172897982,negligible,negative,not_available,0.35168782556081835,38
correct,theta_alpha_parietal_ratio,0.0348835632970131,0.0488369886158184,0.0563982204593509,0.0862189671251065,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.0563982204593509,negligible,positive,not_available,0.35075839841341583,39
correct,theta_alpha_occipital_ratio,0.0195717891216527,0.0288426366003303,0.056103224729366,0.1631099213552205,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.056103224729366,negligible,positive,not_available,0.3504929022564294,40
correct,alpha_frontoparietal_diff,0.0403220684217714,0.0550740446736389,-0.0643057311497376,-0.2457983468651301,negative,17.0,,0.4705882352941176,0.5294117647058824,0.5294117647058824,17,False,0.0643057311497376,negligible,negative,not_available,0.05787515803476384,41
correct,gamma_abs,0.1825671508665955,0.2323581920120306,0.0602417604193382,0.0129560515684556,positive,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,False,0.0602417604193382,negligible,positive,not_available,0.054217584377404385,42
correct,alpha_frontoparietal_ratio,0.0868031339206567,0.115737511894209,-0.0512989091636434,-0.0200598330384644,negative,17.0,,0.2941176470588235,0.7058823529411765,0.7058823529411765,17,False,0.0512989091636434,negligible,negative,not_available,0.046169018247279064,43
correct,gamma_rel,0.258524798658871,0.3147258418455821,-0.0383588679762054,-0.0012532810482517,negative,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,False,0.0383588679762054,negligible,negative,not_available,0.03452298117858486,44
correct,beta_rel,0.2959002353491021,0.352561982543611,-0.0341803801682514,-0.0015474107262714,negative,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,False,0.0341803801682514,negligible,negative,not_available,0.030762342151426262,45
