subject,run,event_index,latency_samples,event_time_sec,event_type,memory_cond,task_role,letter,qc_status,qc_start_sec,qc_end_sec
sub-004,1,40,21488.813547525002,85.951254,"[[108]
 [101]
 [102]
 [116]
 [ 95]
 [ 99]
 [108]
 [105]
 [ 99]
 [107]]",55.0,"[[105]
 [103]
 [110]
 [111]
 [114]
 [101]
 [100]
 [ 95]
 [ 99]
 [111]
 [114]
 [114]
 [101]
 [ 99]
 [116]]","[[110]
 [ 47]
 [ 97]]",REVIEW,80.0,90.0
sub-004,1,41,21588.838061025,86.351352,"[[115]
 [111]
 [117]
 [110]
 [100]
 [ 95]
 [ 98]
 [101]
 [101]
 [112]]",55.0,"[[102]
 [101]
 [101]
 [100]
 [ 98]
 [ 97]
 [ 99]
 [107]
 [ 95]
 [ 99]
 [111]
 [114]
 [114]
 [101]
 [ 99]
 [116]]","[[110]
 [ 47]
 [ 97]]",REVIEW,80.0,90.0
sub-004,1,42,24342.649667150003,97.366599,"[[114]
 [105]
 [103]
 [104]
 [116]
 [ 95]
 [ 99]
 [108]
 [105]
 [ 99]
 [107]]",55.0,"[[105]
 [110]
 [100]
 [105]
 [ 99]
 [ 97]
 [116]
 [101]
 [ 95]
 [114]
 [101]
 [ 97]
 [100]
 [121]]","[[110]
 [ 47]
 [ 97]]",NORMAL,90.0,100.0
sub-004,1,43,24347.524643425,97.386099,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [ 99]
 [114]
 [111]
 [115]
 [115]]",53.0,"[[102]
 [105]
 [120]
 [ 97]
 [116]
 [101]]",43.0,NORMAL,90.0,100.0
sub-004,1,44,25659.318263175002,102.633273,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",75.0,NORMAL,100.0,110.0
sub-004,1,45,26019.51651125,104.074066,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [105]
 [103]
 [110]
 [111]
 [114]
 [101]]",90.0,NORMAL,100.0,110.0
sub-004,1,46,26379.964758125,105.515859,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",74.0,NORMAL,100.0,110.0
sub-004,1,47,26740.413005,106.957652,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",86.0,NORMAL,100.0,110.0
sub-004,1,48,27100.5862532,108.398345,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",82.0,NORMAL,100.0,110.0
sub-004,1,49,27461.03450005,109.840138,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [105]
 [103]
 [110]
 [111]
 [114]
 [101]]",72.0,NORMAL,100.0,110.0
sub-004,1,50,27821.482746924998,111.281931,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [105]
 [103]
 [110]
 [111]
 [114]
 [101]]",77.0,REVIEW,110.0,120.0
