feature,perturbation_rows,perturbation_significant,perturbation_min_p,perturbation_max_abs_d,cross_target_rows,cross_target_pattern,ml_mean_importance,ml_max_importance,ml_mean_sign_consistency,loso_rows,loso_stable_count,loso_mean_effect,null_rows,null_min_p,null_significant,r_rows,r_min_p,r_fdr_significant,score_perturbation,score_ml,score_loso,score_consistency,score_r,score_null,final_evidence_score,final_evidence_class,evidence_class_priority,final_rank
theta_central,2,2,7.168466810680754e-09,0.1528240647860177,1,target_dissociated,0.00178101083502665,0.0026261411899615,0.8,46,0,0.05448060456630026,2,1.0,0,2,0.6982259522172423,0,0.6754786920758932,0.10679623386318915,0.907325167336259,0.8,0.0,0.0,0.49169395325886295,limited_multilayer_evidence,2,12
alpha_abs,2,1,0.0029074766612216,0.1011715846421198,1,target_dissociated,0.0080991555730645,0.0111919348571895,1.0,46,0,-0.00012395581706248842,2,1.0,0,2,0.9086975917369357,0,0.4431262321436243,0.5738526880786304,0.5532861783671543,1.0,0.0,0.0,0.48620933132506305,limited_multilayer_evidence,2,13
alpha_temporal,2,1,0.001972721506344,0.100171074318177,1,target_dissociated,0.0060305022852520495,0.0069501619815161,1.0,46,0,0.021772752757894677,2,1.0,0,2,0.6982259522172423,0,0.43862555697162664,0.42093155226007173,0.6952576274769429,1.0,0.0,0.0,0.48289422519030956,limited_multilayer_evidence,2,14
gamma_temporal,2,1,4.008837981489088e-23,0.2249658894032735,1,weak_cross_target_pattern,0.00340772258732895,0.0034522375979122,0.9,46,0,-0.04665936646726064,2,1.0,0,2,0.466558886075305,0,1.0,0.22704770871256888,0.25156504697831755,0.9,0.0,0.0,0.4807225511381773,limited_multilayer_evidence,2,15
alpha_central,2,2,4.1929927970589225e-08,0.1548613622822838,1,target_dissociated,0.00356808249547075,0.0050531441419066,0.8,46,0,0.013726048826130589,2,1.0,0,2,0.9287087233441628,0,0.684643229452463,0.23890200031246073,0.6430853014929123,0.8,0.0,0.0,0.4675582677241904,limited_multilayer_evidence,2,16
alpha_beta_ratio,2,1,0.0009296003114551,0.1115741527988019,1,target_dissociated,0.00508840732624855,0.0052606730495385,0.9,46,0,0.02061712940259497,2,1.0,0,2,0.9086975917369357,0,0.4899209319157265,0.3512890307082364,0.6877649250091092,0.9,0.0,0.0,0.46529102412240075,limited_multilayer_evidence,2,17
theta_occipital,2,1,0.0001541677604189,0.1035544831678395,1,target_dissociated,0.0042180341234053995,0.0045052947910133,0.9,46,0,0.0368857959541981,2,1.0,0,2,0.9086975917369357,0,0.4538454141205106,0.28694839926991567,0.7932458998098875,0.9,0.0,0.0,0.46450021334608826,limited_multilayer_evidence,2,18
delta_parietal,2,2,0.0041829227699469,0.1212282540480741,1,target_shared,0.0024990489715959953,0.0049431207432994,1.0,46,0,0.024906991847565386,2,1.0,0,2,0.6214886304460292,0,0.5333487434642604,0.15987579439280297,0.7155790590699085,1.0,0.0,0.0,0.45842815655860736,limited_multilayer_evidence,2,19
delta_frontoparietal_diff,2,1,0.0029074766612216,0.1362394741852295,1,target_shared,0.0019448598258040024,0.0038042037104204,0.9,46,0,0.026946277234943018,2,1.0,0,2,0.5827241271031729,0,0.6008749090178988,0.11890844905169633,0.7288011513584973,0.9,0.0,0.0,0.45476064733651345,limited_multilayer_evidence,2,20
gamma_parietal,2,2,1.0619820128413021e-07,0.1242595828151386,1,weak_cross_target_pattern,0.0059840039699558,0.0065404925825764,1.0,46,0,-0.02032328326904822,2,1.0,0,2,0.466558886075305,0,0.5469848107727167,0.41749425552666347,0.42232002061861895,1.0,0.0,0.0,0.4547090579222357,limited_multilayer_evidence,2,21
theta_temporal,2,2,5.245038754930327e-06,0.113538613324556,1,target_dissociated,0.00275328787539725,0.0039065458494627,0.7,46,0,0.052434983731503466,2,1.0,0,2,0.5827241271031729,0,0.49875782095430116,0.17866990656597734,0.8940619979767589,0.7,0.0,0.0,0.44423583614712253,limited_multilayer_evidence,2,22
