source_file,subject,run,trial,memory_cond,event_count,has_fixation,has_work_memory,has_probe,has_feedback,has_to_remember,has_to_ignore,has_probe_target,has_probe_not_shown,accuracy,letters_presented,n_letters,response,feedback,start_sample,end_sample,start_latency,end_latency,expected_14_events,bad_trial
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,19,3,14,True,True,True,True,True,True,False,True,1.0,S Z F D G W V Q L,9,1,correct,117012,123767,117012.183626975,123767.129761775,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,20,7,14,True,True,True,True,True,True,False,True,1.0,X J N R S V Y H C,9,1,correct,123775,130247,123775.429757025,130247.00105395,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,21,3,14,True,True,True,True,True,True,True,False,1.0,P T Z Q V B X G V,9,1,correct,130254,136832,130253.951049975,136832.472285725,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,22,7,14,True,True,True,True,True,True,False,True,1.0,X C J H N D P S L,9,1,correct,136837,143431,136836.94728315002,143431.19350989998,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,23,3,14,True,True,True,True,True,True,True,False,1.0,J C L S G V R T V,9,1,correct,143437,150175,143436.94350660002,150174.96465107502,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,24,3,14,True,True,True,True,True,True,False,True,1.0,F B C R M J H T S,9,1,correct,150183,156273,150183.41464625002,156272.786161875,True,False
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,,25,5,14,True,True,True,True,True,True,False,True,1.0,Z T M S Y V N H Q,9,1,correct,156280,161692,156280.48615747498,161691.6080612,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,1,3,14,True,True,True,True,True,True,True,False,1.0,C V W H N X R M R,9,1,correct,1090,7725,1090.0,7724.8715261,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,2,7,14,True,True,True,True,True,True,False,True,1.0,P W F S Z T K Q L,9,1,correct,7732,13407,7731.6964968,13407.247139875,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,3,7,14,True,True,True,True,True,True,True,False,1.0,Y D Q V G L F S G,9,1,correct,13414,20369,13413.822111675,20368.517265225,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,4,3,14,True,True,True,True,True,True,False,True,1.0,P X B Z H V R F Q,9,1,correct,20374,26242,20374.24224065,26242.067058575,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,5,5,14,True,True,True,True,True,True,True,False,1.0,R C X H N P M L P,9,255,correct,26249,33269,26249.067028525,33269.311900775,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,6,5,14,True,True,True,True,True,True,False,True,1.0,V C H M D Q Z Y J,9,1,correct,33276,39262,33276.48687,39261.611184525,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,7,7,14,True,True,True,True,True,True,False,True,1.0,M Q W B Z D R L Y,9,1,correct,39269,46427,39268.811153625,46427.35543235,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,8,5,14,True,True,True,True,True,True,True,False,1.0,H T X V F K C G X,9,255,correct,46434,52255,46434.20540295,52254.9054231,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,9,3,14,True,True,True,True,True,True,True,False,1.0,Y C P K R W H L K,9,1,correct,52263,60429,52263.055388125,60429.37034195,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,10,3,14,True,True,True,True,True,True,False,True,1.0,V W S R B N P Z X,9,255,correct,60435,69138,60434.52031985,69137.882968925,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,11,3,14,True,True,True,True,True,True,True,False,1.0,N B T S X C Q R S,9,255,correct,69146,75565,69146.1829333,75565.45538465,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,12,3,14,True,True,True,True,True,True,True,False,1.0,P K B Y D M C F P,9,255,correct,75570,82876,75570.180364375,82876.474009025,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,13,7,14,True,True,True,True,True,True,False,True,1.0,P Q S W D F C H X,9,1,correct,82883,88276,82882.54898295,88275.72583785,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,14,5,14,True,True,True,True,True,True,True,False,1.0,M F G K Z Q Y N K,9,255,correct,88284,95462,88283.95080255001,95461.544999525,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,15,5,14,True,True,True,True,True,True,False,True,1.0,F C J Q T S M N Z,9,1,correct,95466,102614,95466.344978925,102614.4393025,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,16,7,14,True,True,True,True,True,True,True,False,1.0,B N R G Y Z M X Z,9,255,correct,102619,108350,102619.2392819,108349.9646882,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,17,3,14,True,True,True,True,True,True,False,True,1.0,P R K W C Z Y X B,9,1,correct,108356,114389,108355.839662975,114388.763772375,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,18,5,14,True,True,True,True,True,True,False,True,1.0,K S P F D L T Z Q,9,1,correct,114394,121060,114394.413748125,121060.460140425,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,19,5,14,True,True,True,True,True,True,False,True,1.0,T Y K Z F Q G W L,9,1,correct,121065,127950,121065.3601194,127949.75557465,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,20,3,14,True,True,True,True,True,True,True,False,1.0,S N R X M T B G R,9,1,correct,127955,134542,127954.55555405,134542.47728165,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,21,7,14,True,True,True,True,True,True,False,True,1.0,Q P H R X C S V Z,9,1,correct,134550,140891,134550.02724925,140891.27503545,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,22,7,14,True,True,True,True,True,True,True,False,1.0,H D W Y K P X V X,9,255,correct,140899,147524,140898.550004225,147523.5715726,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,23,7,14,True,True,True,True,True,True,True,False,1.0,W L D J C F V S S,9,255,correct,147532,153852,147532.021536325,153852.494411675,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,24,3,14,True,True,True,True,True,True,True,False,1.0,D B G J W L K C L,9,255,correct,153860,160656,153859.51938152502,160655.99021412502,True,False
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,,25,5,14,True,True,True,True,True,True,True,False,1.0,Q M C X S W R H Q,9,255,correct,160660,166925,160660.465194925,166925.46330835,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,1,3,14,True,True,True,True,True,True,True,False,1.0,D C R G Z X L K K,9,255,correct,932,8684,932.0,8683.781518275,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,2,3,14,True,True,True,True,True,True,True,False,1.0,B F H R Z G M V B,9,255,correct,8688,15652,8688.331507425,15651.964904775,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,3,7,14,True,True,True,True,True,True,True,False,1.0,J T V D X G N R R,9,255,correct,15657,22060,15657.01489275,22059.7496274,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,4,7,14,True,True,True,True,True,True,True,False,1.0,Y S N M F Q H W N,9,255,correct,22064,30373,22064.3246165,30372.679807775,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,5,7,14,True,True,True,True,True,True,False,True,1.0,J T L X S G Q R Y,9,1,correct,30378,36431,30378.004795075,36431.0403635,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,6,5,14,True,True,True,True,True,True,True,False,1.0,Z C R F Q V P N F,9,255,correct,36437,42654,36437.315348525,42654.200526275,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,7,5,14,True,True,True,True,True,True,True,False,1.0,Z W T R H L D J H,9,1,correct,42660,48765,42660.12551215,48765.26095635,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,8,7,14,True,True,True,True,True,True,True,False,1.0,K G J Z H D P V G,9,1,correct,48770,57546,48769.6859458,57546.190020925,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,9,3,14,True,True,True,True,True,True,False,True,1.0,P M D Z B R N G F,9,255,correct,57553,64059,57552.840005075,64059.3994922,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,10,3,14,True,True,True,True,True,True,False,True,1.0,G L X P H M N R Z,9,1,correct,64065,70276,64064.8494792,70275.959670725,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,11,5,14,True,True,True,True,True,True,True,False,1.0,H B Q K S R T J Q,9,1,correct,70283,79888,70283.384653025,79887.586754775,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,12,5,14,True,True,True,True,True,True,False,True,1.0,D Q G M P V F T B,9,1,correct,79896,89308,79896.161734325,89308.0392946,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,13,7,14,True,True,True,True,True,True,True,False,1.0,W D R Z M T H L W,9,1,correct,89316,99328,89316.2142751,99328.265404475,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,14,5,14,True,True,True,True,True,True,False,True,1.0,J S Y T P F M K V,9,1,correct,99335,105611,99335.44038735,105610.675426,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,15,7,14,True,True,True,True,True,True,True,False,1.0,Z X S Y C V T W V,9,255,correct,105617,113099,105616.975410975,113099.4575713,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,16,7,14,True,True,True,True,True,True,True,False,1.0,P Y R T B G V M P,9,255,correct,113105,119745,113105.0825579,119744.5167282,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,17,7,14,True,True,True,True,True,True,False,True,1.0,F M B N L X J Y P,9,1,correct,119751,126706,119751.04171265,126706.0001307,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,18,3,14,True,True,True,True,True,True,True,False,1.0,H M W N G B T L T,9,255,correct,126712,133628,126711.5001176,133627.93362747502,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,19,3,14,True,True,True,True,True,True,False,True,1.0,R X S P N D G J M,9,1,correct,133634,140471,133633.933613175,140470.742312925,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,20,7,14,True,True,True,True,True,True,True,False,1.0,Y W S J P C D K C,9,255,correct,140477,147630,140476.867298325,147630.025243825,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,21,3,14,True,True,True,True,True,True,False,True,1.0,D V G H P J M Z Y,9,255,correct,147638,154354,147638.27522414998,154354.13421225,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,22,5,14,True,True,True,True,True,True,False,True,1.0,L F M J K N R H G,9,255,correct,154360,161171,154359.75919885002,161170.5179607,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,23,5,14,True,True,True,True,True,True,False,True,1.0,C P X Z T Y J B H,9,1,correct,161178,168686,161177.692943575,168685.70004305,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,24,5,14,True,True,True,True,True,True,True,False,1.0,V W Q S T Z K X W,9,1,correct,168691,177361,168691.0500303,177361.0793593,True,False
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,,25,3,14,True,True,True,True,True,True,True,False,1.0,K H L V R C J Y R,9,255,correct,177369,183360,177369.22933985,183359.9650568,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,1,5,14,True,True,True,True,True,True,False,True,1.0,J Q K F Z W M H B,9,1,correct,601,6877,601.0,6877.258240550001,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,2,7,14,True,True,True,True,True,True,False,True,1.0,L K G Z H W M D Q,9,1,correct,6883,13311,6882.53322645,13311.3160597,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,3,5,14,True,True,True,True,True,True,True,False,1.0,M R L X G W F D F,9,255,correct,13319,20853,13318.79103975,20852.895921450003,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,4,7,14,True,True,True,True,True,True,True,False,1.0,K G D H R T V N D,9,1,correct,20857,26872,20857.3709095,26871.629849675,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,5,5,14,True,True,True,True,True,True,True,False,1.0,Q W C K J P V M M,9,1,correct,26879,32350,26879.204829425,32349.8152213,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,6,3,14,True,True,True,True,True,True,False,True,1.0,D N K H J C B M S,9,1,correct,32356,39760,32355.865205125003,39759.5204352,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,7,3,14,True,True,True,True,True,True,True,False,1.0,D H G C S N M F S,9,255,correct,39765,45785,39764.7204213,45784.754346025,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,8,3,14,True,True,True,True,True,True,True,False,1.0,S T G N W J F H N,9,1,correct,45790,53722,45790.304331224994,53721.88315155,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,9,3,14,True,True,True,True,True,True,False,True,1.0,Y T W N J V Z C B,9,1,correct,53727,61666,53727.083137675,61665.61193945,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,10,7,14,True,True,True,True,True,True,False,True,1.0,Y V F R C Z Q D K,9,1,correct,61672,68983,61672.136922025,68983.11739955,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,11,5,14,True,True,True,True,True,True,True,False,1.0,G K M D R C B Y Y,9,1,correct,68988,77665,68988.4923852,77665.21921577501,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,12,5,14,True,True,True,True,True,True,False,True,1.0,V L S M R D N Q K,9,1,correct,77671,83954,77671.144199975,83954.1774224,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,13,3,14,True,True,True,True,True,True,False,True,1.0,Z M P N F L D H J,9,255,correct,83961,91542,83960.92740437499,91541.7321614,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,14,7,14,True,True,True,True,True,True,False,True,1.0,Z P W Q B G J M V,9,1,correct,91550,97402,91549.7821399,97402.141512375,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,15,5,14,True,True,True,True,True,True,False,True,1.0,R B Y C Q F N L Z,9,1,correct,97408,105787,97407.8664971,105787.2691216,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,16,5,14,True,True,True,True,True,True,True,False,1.0,K C Z M L F G Y L,9,1,correct,105793,113474,105792.844106725,113473.59859685,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,17,5,14,True,True,True,True,True,True,False,True,1.0,M V G F R X W Y J,9,1,correct,113478,122096,113478.1485847,122096.000572475,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,18,7,14,True,True,True,True,True,True,False,True,1.0,L C Z M T B G K D,9,1,correct,122102,129894,122102.07555625,129894.429748375,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,19,7,14,True,True,True,True,True,True,True,False,1.0,Z N K G B M Y R K,9,1,correct,129900,137719,129900.379732475,137719.35885350002,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,20,7,14,True,True,True,True,True,True,True,False,1.0,P L H K B Q T J H,9,1,correct,137724,144898,137723.933841275,144898.28968365,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,21,3,14,True,True,True,True,True,True,False,True,1.0,F S M D Y N Q K R,9,1,correct,144906,151161,144906.33966215,151160.77296094998,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,22,5,14,True,True,True,True,True,True,False,True,1.0,H W Z Q F T S M B,9,1,correct,151167,158570,151166.62294532498,158570.3531752,True,False
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,,23,3,14,True,True,True,True,True,True,True,False,1.0,Z K H P C S V X C,9,255,correct,158575,164780,158575.228162175,164780.2615929,True,False
