target,feature,n_subjects,mean_subject_effect,median_subject_effect,std_subject_effect,q25_subject_effect,q75_subject_effect,positive_subjects,negative_subjects,zero_subjects,positive_fraction,negative_fraction,median_direction,direction_consistency
remember,memory_cond,22,0.031974305913632255,-0.18477427334570162,0.9489340852718868,-0.38025383209434716,0.17070697039650362,8,14,0,0.36363636363636365,0.6363636363636364,negative,mixed_weak
remember,alpha_abs,22,-0.04091028256176233,0.009710544931321452,0.2663756728363334,-0.01206813865841369,0.09221022665553136,14,8,0,0.6363636363636364,0.36363636363636365,positive,mixed_weak
remember,gamma_central,22,0.004361522247368668,0.0015420423906634829,0.015851696352128557,-0.0011555037021171593,0.00553482769799256,14,8,0,0.6363636363636364,0.36363636363636365,positive,mixed_weak
remember,gamma_parietal,22,0.001993395339266899,0.001670181371644066,0.01012814262510098,-0.00028893533310951906,0.003253691657689699,14,8,0,0.6363636363636364,0.36363636363636365,positive,mixed_weak
remember,theta_alpha_frontal_ratio,22,0.02795823234919875,0.016725597571210504,0.15747486580281417,-0.05744562191448105,0.09998602801896583,14,8,0,0.6363636363636364,0.36363636363636365,positive,mixed_weak
remember,theta_abs,22,-0.07691491602844817,0.0489110146631514,0.41042950994073957,-0.023155095851533664,0.14129700990690647,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,gamma_abs,22,0.0027448095300767164,0.003196619299855555,0.017529523998760736,-0.0036331110303939977,0.010231548199274965,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,theta_beta_ratio,22,-0.10222154938088446,0.03074998961586184,0.9182705751720481,-0.1608790849473274,0.3273221507366243,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,delta_theta_ratio,22,-0.30793952406844055,-0.03322045847949762,1.4149626525318755,-0.11089774345587622,0.09454410363332955,9,13,0,0.4090909090909091,0.5909090909090909,negative,mixed_weak
remember,alpha_frontal,22,-0.024949193246150712,0.033575981578430614,0.1545308232550085,-0.018831501164470993,0.06309807678686599,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
